"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","1,866,000","","","","","","","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,558,600","","1,662,000","","29","","871,407,000","","28,712,000","","1,842",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,708,400","","1,764,700","","29.9","","866,222,000","","30,057,000","","1,759",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,648,600","","1,701,600","","35.8","","980,622,000","","28,910,000","","1,754",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,316,300","","1,359,700","","38.4","","982,385,000","","24,576,000","","1,867",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,690,400","","1,742,500","","42.4","","1,235,255,000","","31,925,000","","1,889",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,167,900","","1,217,900","","34.6","","851,131,000","","19,890,000","","1,703",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,842,700","","1,911,400","","27.9","","899,258,000","","31,801,000","","1,726",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,464,000","","1,540,000","","31","","790,250,000","","25,427,000","","1,737",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,445,200","","1,495,000","","34.3","","910,200,000","","25,558,000","","1,768",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,479,200","","1,527,400","","25.6","","748,680,000","","25,586,000","","1,730",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,531,600","","1,622,800","","19.5","","554,154,000","","24,155,000","","1,577",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,526,600","","1,623,000","","24.1","","512,833,000","","26,576,000","","1,741",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,212,300","","1,346,300","","21.2","","451,605,000","","17,743,000","","1,464",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,346,900","","1,406,100","","17.7","","422,793,000","","22,492,000","","1,670",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,738,900","","1,929,700","","22.6","","519,341,000","","30,312,000","","1,743",""
