"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, LARGE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","343,000","","","","","","","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","209,200","","211,500","","32.5","","77,889,000","","3,509,000","","1,677",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","130,600","","135,300","","29.1","","38,449,000","","1,607,000","","1,230",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","145,500","","148,300","","28.8","","65,144,000","","1,903,000","","1,308",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","171,400","","172,500","","34.9","","83,213,000","","2,746,000","","1,602",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","137,400","","138,400","","41.2","","81,881,000","","2,185,000","","1,590",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","98,000","","98,900","","39.2","","70,260,000","","1,633,000","","1,666",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","119,600","","120,900","","28.5","","48,019,000","","1,594,000","","1,333",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","78,100","","80,000","","31.1","","36,274,000","","1,242,000","","1,590",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","71,200","","71,800","","35.3","","31,647,000","","989,000","","1,389",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","110,500","","114,100","","28.4","","41,572,000","","1,386,000","","1,254",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","116,600","","119,400","","27.8","","36,965,000","","1,390,000","","1,192",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","76,400","","79,300","","26.7","","24,606,000","","912,000","","1,194",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","37,700","","39,000","","","","13,861,000","","517,000","","1,371",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,800","","37,500","","","","7,583,000","","357,000","","997",""
