"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, DARK, RED, KIDNEY - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","51,400","","53,000","","1,126,000","","2,191",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","75,800","","79,300","","1,574,000","","2,077",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","56,900","","59,300","","1,161,000","","2,040",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","43,800","","46,700","","838,000","","1,913",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","44,700","","46,200","","905,000","","2,025",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","47,700","","48,800","","790,000","","1,656",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","45,700","","48,500","","833,000","","1,823",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","47,300","","50,500","","850,000","","1,797",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","49,300","","50,800","","992,000","","2,012",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","39,100","","40,200","","663,000","","1,696",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","46,400","","48,800","","824,000","","1,776",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","58,000","","60,700","","1,048,000","","1,807",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","46,600","","51,300","","686,000","","1,472",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","48,400","","49,900","","845,000","","1,746",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","65,600","","71,100","","1,136,000","","1,732",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","52,800","","57,400","","736,000","","1,394",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","62,500","","65,300","","1,014,000","","1,622",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","64,300","","66,900","","1,040,000","","1,617",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","61,800","","64,200","","842,000","","1,362",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","64,100","","67,100","","992,000","","1,548",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","65,500","","69,300","","1,074,000","","1,640",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","65,100","","74,400","","938,000","","1,441",""
