"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,300","","37,500","","572,000","","1,620",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","35,200","","37,200","","565,000","","1,605",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,800","","31,300","","476,000","","1,597",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","38,800","","41,800","","639,000","","1,647",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,800","","37,400","","546,000","","1,665",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","23,300","","24,600","","337,000","","1,446",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,700","","34,700","","585,000","","1,789",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","45,400","","48,300","","771,000","","1,698",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","27,300","","29,300","","394,000","","1,443",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","27,100","","27,800","","497,000","","1,834",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,400","","31,400","","533,000","","1,813",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","21,500","","23,000","","406,000","","1,888",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","25,300","","28,000","","384,000","","1,518",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","46,100","","50,500","","785,000","","1,703",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","32,400","","34,600","","543,000","","1,676",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","29,500","","32,000","","553,000","","1,875",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","21,100","","22,800","","382,000","","1,810",""
