"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, CHICKPEAS, SMALL - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","155,000","","","","","","","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","110,800","","113,800","","26.9","","50,130,000","","1,938,000","","1,749",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","71,700","","72,200","","21.6","","22,595,000","","906,000","","1,264",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","66,600","","66,800","","21.6","","19,183,000","","903,000","","1,356",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","47,200","","48,200","","25.5","","18,563,000","","813,000","","1,722",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","68,900","","69,500","","30.5","","31,761,000","","1,147,000","","1,665",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","36,500","","36,900","","23.4","","14,179,000","","569,000","","1,559",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","24,500","","25,100","","22.8","","7,823,000","","345,000","","1,408",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","15,800","","16,100","","19.9","","3,634,000","","202,000","","1,278",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","10,900","","11,700","","26.7","","3,325,000","","129,000","","1,183",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","10,800","","11,100","","15.7","","2,916,000","","129,000","","1,194",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","16,300","","17,400","","15.5","","2,095,000","","149,000","","914",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","9,900","","10,500","","11.7","","2,243,000","","149,000","","1,505",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","5,700","","6,000","","","","1,078,000","","76,000","","1,333",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","5,600","","6,000","","","","912,000","","60,000","","1,071",""
