"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEANS, DRY EDIBLE, SMALL, WHITE - ACRES HARVESTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, SMALL, WHITE - ACRES HARVESTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, SMALL, WHITE - ACRES PLANTED  -  <b>VALUE</b>","BEANS, DRY EDIBLE, SMALL, WHITE - ACRES PLANTED  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, SMALL, WHITE - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, SMALL, WHITE - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, SMALL, WHITE - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","BEANS, DRY EDIBLE, SMALL, WHITE - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>","BEANS, DRY EDIBLE, SMALL, WHITE, FLAT - PRODUCTION, MEASURED IN CWT  -  <b>VALUE</b>","BEANS, DRY EDIBLE, SMALL, WHITE, FLAT - PRODUCTION, MEASURED IN CWT  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","","","","","0","","","","",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","5,100","","5,100","","115,000","","2,255","","",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,300","","2,300","","42,000","","1,830","","",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,200","","1,200","","33,000","","2,750","","",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","1,100","","1,100","","29,000","","2,636","","",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,700","","2,700","","71,000","","2,630","","",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","3,100","","3,100","","71,000","","2,290","","",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED"," (D)",""," (D)",""," (D)",""," (D)","","",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","400","","400","","10,000","","2,500","","",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","TOTAL","NOT SPECIFIED","2,100","","2,100","","46,000","","2,190","","",""
